label,pattern,sublocation,count,country,interest_1,interest_2,indoor_outdoor,adjective,video_sentiment,comment_sentiment
FAC,peranakan house,peranakan house,,singapore,museum,heritage,indoor,,,
FAC,peranakan museum,peranakan museum,,,museum,heritage,indoor,,,
FAC,pioneer mall,pioneer mall,,,shopping,,indoor,,,
FAC,plaza singapura,plaza singapura,,,shopping,,indoor,,,
FAC,plq,paya lebar quarter,,,shopping,,indoor,,,
FAC,pomo,pomo,,,shopping,,indoor,,,
FAC,pop mart,pop mart,,,shopping,,indoor,,,
FAC,potato head,potato head,,singapore,food and drinks,,indoor,,,
FAC,pso beach club,pso beach club,,singapore,food and drinks,,indoor,,,
GPE,pulau anak bukom,pulau anak bukom,,,nature,,outdoor,,,
GPE,pulau berkas,pulau berkas,,,nature,,outdoor,,,
GPE,pulau biola,violin island,,,nature,,outdoor,,,
GPE,pulau brani,pulau brani,,,nature,,outdoor,,,
GPE,pulau bukom,pulau bukom,,,nature,,outdoor,,,
GPE,pulau bukom kechil,pulau bukom kechil,West Region,2.1,nature,,outdoor,,,
GPE,pulau buloh,sungei buloh wetland reserve,North Region,1.3,nature,,outdoor,,,
GPE,pulau damar laut,pulau damar laut,West Region,—,nature,,outdoor,,,
GPE,pulau damien,pulau damien,Northeast Region,—,nature,,outdoor,,,
GPE,pulau hantu,pulau hantu,West Region,0.126,nature,,outdoor,,,
GPE,pulau jong,pulau jong,West Region,0.006,nature,,outdoor,,,
GPE,pulau keppel,pulau keppel,Central Region,0.053,nature,,outdoor,,,
GPE,pulau ketam,pulau ketam,Northeast Region,—,nature,,outdoor,,,
GPE,pulau khatib bongsu,pulau khatib bongsu,North Region,—,nature,,outdoor,,,
GPE,pulau kusu,pulau kusu,,,nature,,outdoor,,,
GPE,pulau malang siajar,pulau malang siajar,Northeast Region,—,nature,,outdoor,,,
GPE,pulau palawan,pulau palawan,Central Region,0.004,nature,,outdoor,,,
