id,url,handle,comment_count,comment
1_cmt,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,trippingmillennial,31,Nice
1_cmt,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,trippingmillennial,31,https://seacretdirect.com/Konstantinidis
1_cmt,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,trippingmillennial,31,Is the first place serve halal foods?
1_cmt,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,trippingmillennial,31,This is on my bucket list!
1_cmt,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,trippingmillennial,31,@⏳𝐓𝐈𝐌𝐄✞𝐓𝐎✞𝐓𝐈𝐌𝐄⌛️🥷🏼
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Mean while me living in Singapore
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,I miss singapore
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Forever in love with SG😍 will never get tired of going back🥰
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,😥I really miss Singapore😍
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,What time of year was this? Never seen Singapore with such a blue sky 😍 it was so cloudy when I went
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Just from here 2 weeks ago 🥰
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Level 33 rooftop bar is free entry? Or do you have to dine in? 😊
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Going soon!! Cant wait🤩
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,eeeeyyy can't wait 😍
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Universal
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,what time is the spectra light show?
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Recommend the pod boutique capsule hotel for those backpacking! 🤍
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,"Saving for when we visit! Can I ask, roughly how much were the drinks at the Level 33 Rooftop bar? X"
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,SEE YOU SOON SG WITH MAMA🥰
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,can you only see the jewel fountain after checking in at the airport?
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,So much to see & do that costs nothing & looks incredible 🙏🏼
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,I miss Singapore 😍
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Singapore is on my list to visit 😁
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,beautiful backgroud
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Night safari 👌
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,I’m
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,someday
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,I loved Singapore 😍
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,i am looking for a in your place can someone help me to find work to do please
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Just got back from Singapore and it was absolutely beautiful!
